TYPE	INPUTS	REPEATS						AVERAGE	STDEV				
													
													
RTOPE	100	0	7078	4213	16001	3766	5759	7363	5003				
	100	10	2987	1472	5478	5970	6020	4385	2051				
	100	20	3496	3219	4268	4850	3893	3945	643				
	100	40	2334	1745	3472	2550	2891	2598	642				
													
DCS	100	0	4298	4001	4191	2379	4009	3776	791				
	100	10	3787	5255	5673	3071	4474	4452	1059				
	100	20	2473	3343	4237	4621	1763	3287	1191				
	100	40	4194	3986	4119	2768	3702	3754	582				
													
RTOPE	200	0	9433	9426	20948	23678	11905	15078	6751				
	200	20	11929	8278	40087	11478	11160	16586	13215				
	200	40	7704	15353	25317	19231	10931	15707	6924				
													
DCS	200	0	8667	11495	9018	14638	12684	11300	2512				
	200	20	9073	7411	27871	9201	8220	12355	8704				
	200	40	8889	9859	5668	9245	7707	8274	1654				
													
													
													
													
									TYPE	INPUTS	REPEATS	AVERAGE	STDEV
													
													
									RTOPE	100	0	7363	5003
										100	10	4385	2051
										100	20	3945	643
										100	40	2598	642
													
									DCS	100	0	3776	791
										100	10	4452	1059
										100	20	3287	1191
										100	40	3754	582
													
									RTOPE	200	0	15078	6751
										200	20	16586	13215
										200	40	15707	6924
													
									DCS	200	0	11300	2512
										200	20	12355	8704
										200	40	8274	1654
